;ID;question;mexico_2008;mexico_2010;mexico_2012;mexico_2014;ecuador_2010;ecuador_2012;ecuador_2014;uruguay_2014;colombia_2010;colombia_2012;colombia_2014;chile_2008;chile_2014;argentina_2014;peru_2014;peru_2010;brasil_2014;brasil_2010;
Q_24;24;¿cómo describiría la relación de [PAIS] con los siguientes países... españa [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5h;NA;NA;NA;ec_34_7;NA;P10_4_9;NA;NA;NA;NA;p46g;NA;NA;NA;NA;NA;p46r14;
Q_25;25;¿cómo describiría la relación de [PAIS] con los siguientes países... estados unidos [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5i;NA;NA;P1044;ec_34_8;NA;P10_4_4;P10_4_4;NA;NA;v_10_4_4;p46h;P10_4_4;p10_4_4;P10_4_1_D;NA;NA;p46r15;
Q_26;26;¿cómo describiría la relación de [PAIS] con los siguientes países... guatemala [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5j;NA;NA;P1045;NA;NA;NA;NA;NA;NA;NA;p46i;NA;NA;NA;NA;NA;p46r16;
Q_27;27;¿cómo describiría la relación de [PAIS] con los siguientes países... irán [AMIGOS, SOCIOS, RIVALES, AMENAZA];NA;NA;NA;NA;ec_34_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_28;28;¿cómo describiría la relación de [PAIS] con los siguientes países... japón [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5c;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p46j;NA;NA;NA;NA;NA;p46r17;
Q_29;29;¿cómo describiría la relación de [PAIS] con los siguientes países... méxico [AMIGOS, SOCIOS, RIVALES, AMENAZA];NA;NA;NA;NA;ec_34_5;NA;P10_4_6;P10_4_6;NA;NA;v_10_4_6;NA;P10_4_6;p10_4_5;P10_4_1_F;NA;NA;NA;
Q_30;30;¿cómo describiría la relación de [PAIS] con los siguientes países... perú [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5l;NA;NA;NA;ec_34_10;NA;P10_4_5;NA;NA;NA;NA;p46k;P10_4_5;NA;NA;NA;NA;p46r21;
Q_31;31;¿cómo describiría la relación de [PAIS] con los siguientes países... uruguay [AMIGOS, SOCIOS, RIVALES, AMENAZA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p10_4_7;NA;NA;NA;NA;
Q_32;32;¿cómo describiría la relación de [PAIS] con los siguientes países... venezuela [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5m;NA;NA;P1047;ec_34_11;NA;P10_4_7;P10_4_7;NA;NA;v_10_4_3;p46l;P10_4_7;p10_4_6;P10_4_1_G;NA;NA;p46r22;
Q_33;33;¿Con cuáles ciudadanos [tiene alguna relacion]? 1st;NA;NA;NA;NA;NA;ec4_1_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_34;34;¿Con cuáles ciudadanos [tiene alguna relacion]? 2nd;NA;NA;NA;NA;NA;ec4_1_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_35;35;¿Con cuáles ciudadanos [tiene alguna relacion]? 3rd;NA;NA;NA;NA;NA;ec4_1_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_36;36;¿Con cuáles ciudadanos [tiene alguna relacion]? 4th;NA;NA;NA;NA;NA;ec4_1_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_37;37;¿Con qué frecuencia está en contacto con este familiar?;NA;NA;q6;P231;NA;q6;P2_3_1;NA;NA;q6;v_2_3_1;NA;NA;NA;P2_3_1;NA;NA;NA;
Q_38;38;¿Con que frecuencia sigue las noticias por Internet?;NA;NA;NA;P121;NA;NA;P1_2_1;NA;NA;NA;v_1_2_1;NA;P1_2_1;p1_2_1;P1_2_1_A;NA;T_151_1;NA;
Q_39;39;¿Con que frecuencia sigue las noticias por Periódicos?;NA;NA;NA;P124;NA;NA;P1_2_4;NA;NA;NA;v_1_2_4;NA;P1_2_4;p1_2_4;P1_2_1_D;NA;T_151_4;NA;
Q_40;40;¿Con que frecuencia sigue las noticias por Radio?;NA;NA;NA;P122;NA;NA;P1_2_2;NA;NA;NA;v_1_2_2;NA;P1_2_2;p1_2_2;P1_2_1_B;NA;T_151_2;NA;
Q_41;41;¿Con que frecuencia sigue las noticias por Televisión?;NA;NA;NA;P123;NA;NA;P1_2_3;NA;NA;NA;v_1_2_3;NA;P1_2_3;p1_2_3;P1_2_1_C;NA;T_151_3;NA;
Q_42;42;¿con qué frecuencia utiliza internet?;ps18_2;pS19_2;qS22_2;PS22;s19_2;qS22_2;S22;S22;S19_2;qS22_2;S22;s18b;S13;ps22;S22_FRECUENCIA;S19_2;Q_141;ps18a;
Q_43;43;¿Con quién cree usted que debería cooperar [PAIS] en la lucha contra el narcotrafico?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;parg1;NA;NA;NA;NA;
Q_44;44;¿Conoce usted o tiene alguna relación con algún ciudadano de los países que acabo de nombrar?;NA;NA;NA;NA;NA;EC4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_45;45;¿Considera que la actuación de [PAIS] en el caso Assange: Ha fortalecido la imagen internacional de [PAIS];NA;NA;NA;NA;NA;EC7_1;EC7_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_46;46;¿Considera que la actuación de [PAIS] en el caso Assange: Ha fortalecido la politica exterior de [PAIS];NA;NA;NA;NA;NA;EC7_2;EC7_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_47;47;¿Considera usted que las mujeres debieran ocupar más puestos en … El Ministerio de Relaciones Exteriores;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C17_3;NA;NA;NA;NA;NA;
Q_48;48;¿Considera usted que las mujeres debieran ocupar más puestos en … El servicio diplomático;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C17_1;NA;NA;NA;NA;NA;
Q_49;49;¿Considera usted que las mujeres debieran ocupar más puestos en … El servicio público en general;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C17_4;NA;NA;NA;NA;NA;
Q_50;50;¿Considera usted que las mujeres debieran ocupar más puestos en … Las Fuerzas de Paz de las Naciones Unidas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C17_2;NA;NA;NA;NA;NA;
Q_51;51;¿Cree Ud. que Chile debe darle salida soberana al mar a Bolivia?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C12;NA;NA;NA;NA;NA;
Q_52;52;¿Cree Ud. que en los últimos tres años el gobierno de Estados Unidos ha hecho muy difícil, difícil, fácil o muy fácil que gente como usted entre a Estados Unidos?;NA;NA;NA;PMx6C, PMx6D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_53;53;¿Cree usted que [PAÍS] debería aumentar, mantener o reducir el número de embajadas y consulados que tiene en el exterior;NA;NA;q35;NA;NA;q35;NA;NA;NA;q35;NA;NA;NA;NA;NA;NA;NA;NA;
Q_54;54;¿Cree usted que [PAÍS] debe participar en misiones de paz de la ONU enviando soldados o policías, para ayudar en casos de conflictos armados o desastres naturales, o debe dejar este tipo de actividad a otros países?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P7_3_B;NA;NA;NA;NA;NA;
Q_55;55;¿Cree Usted que el [PAIS] debe salir de la dolarización?;NA;NA;NA;NA;NA;NA;EC35_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_56;56;¿cree usted que el mayor contacto de nuestra economía con otras economías en el mundo, lo que se conoce como globalizacion es para [PAIS];p7_704_4;p37;q43, q43b;P75A, P75B, P75C, P75D;p37;q43a,q43b;P7_5_A,P7_5_B;NA;p37;q43;v_7_5_a, v_7_5_b, v_7_5_c, v_7_5_d;p21;P7_5_A, P7_5_B;p7_5a, p7_5b, p7_5c, p7_5d, p7_6d;P7_5_A, P7_5_B, P7_5_C, P7_5_D;p37;Q_62 , Q_63, Q_64, Q_65;p21;
Q_57;57;¿Cree usted que en los últimos tres años el gobierno de Estados Unidos ha hecho muy difícil, difícil, fácil o muy fácil que los [ciudadanos de PAÍS] entren a Estados Unidos?;NA;NA;NA;PMx6A, PMx6B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_58;58;¿Cree usted que la imagen de [PAÍS] en el mundo es [muy buena/mala];NA;NA;q34;NA;NA;q34;NA;NA;NA;q34;NA;NA;NA;NA;NA;NA;NA;NA;
Q_59;59;¿Cuál considera Usted que es el aspecto más Importante de la relación de [PAIS] con Argentina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P8_9_1;NA;NA;NA;NA;NA;
Q_60;60;¿Cuál considera Usted que es el aspecto más Importante de la relación de [PAIS] con Union Europea;NA;NA;NA;NA;NA;NA;EC30_A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_61;61;¿cuál de las siguientes afirmaciones se acerca más a lo que usted piensa sobre el papel de [PAIS] en America Latina;p8_802_3;p43;q49;P84;p43;q49;P8_4;P8_4;p43;q49;v_8_4;p29;P8_4;p8_4;P8_4_R;p43;Q_74;p29;
Q_62;62;¿Cuál de las siguientes alternativas considera Ud. la mejor para resolver la demanda de Bolivia de salir al mar por territorio chileno?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C13;NA;NA;NA;NA;NA;
Q_63;63;¿cual de las siguientes palabras describe mejor sus sentimientos hacia España [admiracion/desprecio];NA;p62_2;NA;NA;p62_2;q61_2;NA;NA;p62_2;NA;NA;NA;P9_2_2;NA;NA;p62_2;NA;NA;
Q_64;64;¿cual de las siguientes palabras describe mejor sus sentimientos hacia España [confianza/desconfianza];NA;p62_1;NA;NA;p62_1;q61_1;NA;NA;p62_1;NA;NA;NA;P9_2_1;NA;NA;p62_1;NA;NA;
Q_65;65;¿cuál de los siguientes países le genera más confianza para mantener la paz en el mundo;p7_702_2a;p35_1;q41_1, q41_1a;P71A, P71AA;p35_1;q41_1, q41_1a;P7_1_A;NA;p35_1;q41_1, q41_1a;v_7_1_a, v_7_1_a_a;p19a;P7_1_A, P7_1_A_TXT;p7_1a, p7_1aotr;P7_1_A, P7_1_A_OTRO;p35_1;Q_57, Q_57_S;p19_1;
Q_66;66;¿Cuál de los siguientes países le genera MÁS CONFIANZA para ser el líder de América Latina;NA;NA;NA;P87A, P87AA;NA;NA;P8_7_A;P8_7_A;NA;NA;v_8_7_a, v_8_7_a_a;NA;P8_7_A;p8_7a;P8_7_A_R;NA;Q_201, Q_201_S;NA;
Q_67;67;¿Cuál de los siguientes países le genera MENOS CONFIANZA para ser el líder de América Latina;NA;p35_2;NA;P87B, P87BB;NA;NA;P8_7_B;P8_7_B;NA;NA;v_8_7_b, v_8_7_b_a;NA;P8_7_B;p8_7b;P8_7_B;NA;Q_202, Q_202_S;NA;
Q_68;68;¿cuál es el aspecto más importante de esta relación con guatemala?;NA;NA;q56_1;P893;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_69;69;¿cuál es el aspecto más importante de esta relación con venezuela? primer lugar;NA;NA;NA;NA;ec_30;NA;P8_9_5;NA;NA;NA;v_8_9_1;NA;NA;NA;NA;NA;NA;NA;
Q_70;70;¿cuál es el aspecto más importante de esta relación con venezuela? Segundo lugar;NA;NA;NA;NA;ec_30_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_72;72;¿cuál es en su opinión el aspecto más importante de la relación entre españa y [PAIS];NA;NA;NA;NA;ec_36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_73;73;¿Cuál es su impresión general sobre los migrantes centroamericanos en [PAÍS] ?;NA;pMx4;qmx4;PMx2A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_74;74;¿Cuál es su impresión general sobre los migrantes centroamericanos que están en [PAÍS] de paso a Estados Unidos?;NA;NA;NA;PMx2_B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_75;75;¿Cuál es su impresión general sobre los migrantes centroamericanos que trabajan temporalmete en [PAÍS]?;NA;NA;NA;PMx2_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_76;76;¿Cuál es su impresión general sobre los migrantes centroamericanos que viven en México?;NA;NA;NA;PMx2_D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_77;77;¿cuál es su opinión de las siguientes organizaciones internacionales? … Alianza del Pacífico;NA;NA;NA;P729;NA;NA;P7_2_9;P7_2_9;NA;NA;v_7_2_10;NA;P7_2_9;p7_2_9;P7_2_1_I_R;NA;Q_172;NA;
Q_78;78;¿cuál es su opinión de las siguientes organizaciones internacionales? … Comisión Interamericana de Derechos Humanos (CIDH);NA;NA;NA;NA;NA;NA;P7_2_6;NA;NA;NA;NA;NA;NA;p7_2_6;NA;NA;NA;NA;
Q_79;79;¿cuál es su opinión de las siguientes organizaciones internacionales? … Comunidad de Estados Latinoamericanos y Caribeños (CELAC);NA;NA;NA;P7210;NA;NA;P7_2_10;P7_2_10;NA;NA;v_7_2_11;NA;P7_2_10;p7_2_10;P7_2_1_J_R;NA;Q_175;NA;
Q_80;80;¿cuál es su opinión de las siguientes organizaciones internacionales? … el ALBA (alianza bolivariana para los pueblos de nuestra américa);NA;p61_10;q71_8;P728;p61_13;q71_8;P7_2_8;P7_2_8;p61_13;q71_8;v_7_2_9;NA;P7_2_8;p7_2_8;P7_2_1_H_R;p61_13;Q_171;NA;
Q_81;81;¿cuál es su opinión de las siguientes organizaciones internacionales? … el banco mundial (BM);NA;NA;NA;NA;p61_11;q71_11;NA;NA;p61_11;NA;NA;NA;NA;NA;NA;p61_11;NA;NA;
Q_82;82;¿cuál es su opinión de las siguientes organizaciones internacionales? … el fondo monetario internacional (FMI);NA;p61_6;q71_5;P725;p61_7;q71_5;P7_2_5;P7_2_5;p61_7;q71_5;v_7_2_5;p44c;P7_2_5;p7_2_5;P7_2_1_E_R;p61_7;Q_169;p44c;
Q_83;83;¿cuál es su opinión de las siguientes organizaciones internacionales? … el grupo de los veinte (G20);NA;p61_11;q71_9;NA;p61_17;q71_9;NA;NA;p61_17;q71_9;NA;NA;NA;NA;NA;p61_17;NA;NA;
Q_84;84;¿cuál es su opinión de las siguientes organizaciones internacionales? … El Mercado Común Centroamericano (MCCA);NA;NA;NA;NA;NA;NA;NA;NA;p61_15;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_85;85;¿cuál es su opinión de las siguientes organizaciones internacionales? … la comunidad andina (CAN);NA;NA;NA;NA;p61_14;NA;NA;NA;p61_14;NA;NA;NA;NA;NA;P7_2_1_K_R;p61_14;NA;NA;
Q_86;86;¿cuál es su opinión de las siguientes organizaciones internacionales? … la comunidad económica de asia y el pacífico (APEC);NA;NA;NA;NA;p61_16;NA;NA;NA;p61_16;NA;NA;NA;NA;NA;NA;p61_16;NA;NA;
Q_87;87;¿cuál es su opinión de las siguientes organizaciones internacionales? … la organización de estados americanos (OEA);p10_1003_3d;p61_4;q71_3;P723;p61_5;q71_3;P7_2_3;P7_2_3;p61_5;q71_3;v_7_2_3;p44e;P7_2_3;p7_2_3;P7_2_1_C_R;p61_5;Q_174;p44e;
Q_88;88;¿cuál es su opinión de las siguientes organizaciones internacionales? … la organización mundial de comercio (OMC);NA;p61_9;NA;NA;p61_10;q71_10;NA;NA;p61_10;q71_12;NA;NA;NA;NA;NA;p61_10;NA;NA;
Q_89;89;¿cuál es su opinión de las siguientes organizaciones internacionales? … la UNASUR (unión de naciones sudamericanas);NA;NA;NA;NA;p61_12;q71_12;NA;NA;p61_12;NA;v_7_2_7;NA;NA;NA;P7_2_1_L_R;p61_12;NA;NA;
Q_90;90;¿cuál es su opinión de las siguientes organizaciones internacionales? … la unión europea;p10_1003_3e;p61_5;q71_4;P724;p61_6;q71_4;P7_2_4;P7_2_4;p61_6;q71_4;v_7_2_4;p44f;P7_2_4;p7_2_4;P7_2_1_D_R;p61_6;NA;NA;
Q_91;91;¿cuál es su opinión de las siguientes organizaciones internacionales? … las empresas multinacionales;p10_1003_3b;p61_2;NA;NA;p61_3;NA;NA;NA;p61_3;q71_10;NA;p44b;NA;NA;NA;p61_3;NA;p44b;
Q_92;92;¿cuál es su opinión de las siguientes organizaciones internacionales? … las organizaciones no gubernamentales internacionales (ONGs);p10_1003_3c;p61_3;NA;NA;p61_4;NA;NA;NA;p61_4;NA;NA;p44d;NA;NA;NA;p61_4;NA;p44d;
Q_93;93;¿cuál es su opinión de las siguientes organizaciones internacionales? … ONU;p10_1003_3a;p61_1;q71_1;P721;p61_2;q71_1;P7_2_1;P7_2_1;p61_2;q71_1;v_7_2_1;p44a;P7_2_1;p7_2_1;P7_2_1_A_R;p61_2;Q_173;p44a;
Q_94;94;¿cuál es su opinión de las siguientes organizaciones internacionales? …Amnistía Internacional;NA;NA;q71_2;P722;NA;q71_2;P7_2_2;P7_2_2;NA;q71_2;v_7_2_2;NA;P7_2_2;p7_2_2;P7_2_1_B_R;NA;NA;NA;
Q_95;95;¿cuál es su opinión de las siguientes organizaciones internacionales? …El MERCOSUR (Mercado Común del Sur);p10_1003_3g;p61_8;q71_7;P727;NA;q71_7;P7_2_7;P7_2_7;p61_9;q71_7;v_7_2_8;NA;P7_2_7;p7_2_7;P7_2_1_G_R;NA;Q_170;p44g;
Q_96;96;¿cuál es su opinión de las siguientes organizaciones internacionales? …El Tratado de Libre Comercio de América del Norte (TLCAN);p10_1003_3f;p61_7;q71_6;P726;NA;q71_6;NA;P7_2_6;p61_8;q71_6;v_7_2_6;p44g;P7_2_6;NA;P7_2_1_F_R;NA;NA;p44f;
Q_97;97;¿Cuál es su opinión general sobre la importancia de la relación de [PAÍS] con Estados Unidos?;NA;NA;q65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_98;98;¿Cuál es su opinión general sobre la importancia de la relación de [PAÍS] con Guatemala?;NA;NA;q56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_99;99;¿cuál fue su actividad principal la semana pasada?;ps9;pS10;qs15;PS13, PS13A;s10;qS15;S13;NA;S10;qs15;S13;s9;NA;ps13;S13_AP;S10;Q_134, Q_134_S;ps9;
Q_100;100;¿Cuál? [otra nacionalidad];NA;NA;qs14_1;PS121A, PS121B, PS121C;NA;qs14_1;S12_1;NA;NA;qs14_1;S12_1;NA;NA;ps12_1;S12_CUAL;NA;NA;NA;
Q_101;101;¿Cuántas personas viven en su casa?;NA;pS16_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;S16_0;NA;NA;
Q_102;102;¿cuántos años cumplidos tiene usted? (99=nc;ps2;pS2;qS2;PS2;s2;qS2;S2;S2;S2;qS2;S2;s2,edad, redad;S2_EDAD_EXACTA, EDAD;ps2;S2_EDAD;S2, cs2;Q_22;ps2;
Q_103;103;¿cuenta usted con servicio telefónico en su vivienda?;ps17;pS18_1;qS21_1;PS18;s18_1;qS21_1;S18;S18;S18_1;qS21_1;S18;s17;NA;ps19;S18_ST;S18_1;Q_139;ps17;
Q_104;104;¿cuenta usted con teléfono celular/móvil?;ps17_2;pS18_2;qS21_2;PS19;s18_2;qS21_2;S19;S19;NA;qS21_2;S19;NA;NA;NA;S19_TLF;S18_2;NA;NA;
Q_105;105;¿de qué país reciben el dinero?;p2_204_6;p3_2_1;q6_2_1;P241, P241A;p3_2_1;q6_2_1;P2_4_1;NA;p3_2_1;q6_2_1;v_2_4_1;p5_1, p5_2, p5_3, p5_4, p5_5, p5_6, p5_7, p5_8, p5_9, p5_10, p5_11, p5_12, p5_13, p5_14, p5_15;NA;NA;P2_4_1;p3_2_1, p3_2_1rc1, p3_2_1rc2;Q_41;p5r1, p5r1_rec, p5r2, p5r3;
Q_106;106;¿dígame, cuál es el aspecto más importante de esta relación con Colombia?;NA;NA;NA;NA;ec_18_1;EC16_1;P8_9_1,EC16 _1;NA;NA;NA;NA;NA;NA;NA;P8_9_1_D_R;NA;NA;NA;
Q_107;107;¿dígame, cuál es el aspecto más importante de esta relación con Colombia? Segundo lugar;NA;NA;NA;NA;ec_18_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_108;108;¿dígame, cuál es el aspecto más importante de esta relación con Estados Unidos? primer lugar;NA;NA;q65_1;P892;ec_13_1;EC32;P8_9_2;NA;NA;NA;v_8_9_2;NA;P8_9_2;NA;P8_9_1_E_R;NA;NA;NA;
